||rk||2 / ||r0|||2;||ek||A
0.000149363;1.12205
0.000136222;1.12159
0.000115143;1.12122
0.00010816;1.12094
8.59535e-05;1.12075
7.31072e-05;1.12062
5.95558e-05;1.12051
5.2741e-05;1.12044
4.54621e-05;1.12038
4.12654e-05;1.12034
3.3507e-05;1.12031
3.26631e-05;1.12028
3.15104e-05;1.12026
3.60414e-05;1.12023
3.83976e-05;1.1202
4.41335e-05;1.12016
4.8358e-05;1.12011
6.18505e-05;1.12004
7.29423e-05;1.11993
8.66418e-05;1.11978
9.82243e-05;1.1196
0.000115999;1.11936
0.000122322;1.11905
0.000138519;1.11865
0.000146083;1.11817
0.000149158;1.11771
0.000139588;1.11724
0.000130788;1.1168
0.000108655;1.11643
0.00010222;1.11617
9.06853e-05;1.11596
7.95027e-05;1.11582
6.4267e-05;1.11571
5.39133e-05;1.11563
4.73192e-05;1.11557
4.01885e-05;1.11553
3.51552e-05;1.1155
3.21218e-05;1.11547
3.29834e-05;1.11544
3.84013e-05;1.11541
4.72493e-05;1.11537
6.0061e-05;1.11531
7.0992e-05;1.11521
9.06479e-05;1.11505
0.000102948;1.11484
0.000120643;1.11459
0.000127307;1.11425
0.000153987;1.11374
0.000175983;1.11309
0.000184642;1.11227
0.00018692;1.11152
0.000175261;1.1108
0.000158828;1.11009
0.000135482;1.10952
0.00011253;1.10915
9.22751e-05;1.10893
7.65184e-05;1.10878
6.50543e-05;1.10866
5.83962e-05;1.10858
5.16511e-05;1.10852
4.4987e-05;1.10847
4.11757e-05;1.10842
4.1633e-05;1.10838
4.29102e-05;1.10834
4.28861e-05;1.1083
4.5639e-05;1.10826
4.88707e-05;1.10821
5.86125e-05;1.10814
6.86826e-05;1.10805
7.82487e-05;1.10793
9.25989e-05;1.10775
0.000113864;1.1075
0.000133335;1.10717
0.00014739;1.10678
0.000147778;1.10629
0.000154714;1.10577
0.000162039;1.10523
0.000166702;1.10465
0.00015226;1.10404
0.000134083;1.10358
0.000108396;1.10327
8.07565e-05;1.10308
6.48313e-05;1.10295
5.32608e-05;1.10287
4.67797e-05;1.10282
3.90823e-05;1.10278
3.43709e-05;1.10275
3.23786e-05;1.10272
3.18466e-05;1.1027
3.12909e-05;1.10268
3.56472e-05;1.10265
4.28297e-05;1.10261
5.04519e-05;1.10255
6.3618e-05;1.10249
7.63151e-05;1.10238
9.82891e-05;1.1022
0.000121328;1.10193
0.000148448;1.10153
0.000155342;1.10103
0.000166384;1.10039
0.000166918;1.09969
0.000164418;1.09905
0.000141201;1.09858
0.000116119;1.09821
8.79745e-05;1.09797
7.17282e-05;1.09783
5.67505e-05;1.09774
4.64747e-05;1.09768
4.08974e-05;1.09763
4.0631e-05;1.09759
3.86208e-05;1.09756
3.68358e-05;1.09753
3.85053e-05;1.0975
4.35387e-05;1.09746
4.68133e-05;1.09742
5.17301e-05;1.09736
6.19813e-05;1.09729
7.4357e-05;1.09719
8.48227e-05;1.09705
0.00010179;1.09683
0.000118074;1.09653
0.000138884;1.09618
0.000147213;1.09577
0.000163867;1.09523
0.000165303;1.09459
0.000185389;1.09392
0.000163474;1.0932
0.00015243;1.0926
0.000127835;1.09215
0.000117576;1.09182
9.64765e-05;1.09158
8.163e-05;1.09138
6.85139e-05;1.09124
6.13457e-05;1.09114
5.17296e-05;1.09107
4.42629e-05;1.09102
3.90385e-05;1.09097
3.63958e-05;1.09094
3.8298e-05;1.09091
3.84446e-05;1.09088
3.79555e-05;1.09085
4.33203e-05;1.09081
5.38227e-05;1.09075
6.66595e-05;1.09067
7.96274e-05;1.09055
0.000100252;1.09034
0.000125994;1.09002
0.00014835;1.08957
0.000162233;1.08904
0.000159801;1.08844
0.000157971;1.08784
0.00014887;1.08735
0.000140104;1.08692
0.000125702;1.08647
